Date,Open,High,Low,Close,Volume
2021-06-01,171.37243224171044,172.47299088314995,168.42451264803438,169.2106170654297,40247686
2021-06-02,165.4765996753088,167.00951892192145,163.98298253686687,164.29742431640625,100377464
2021-06-03,165.6731146841739,165.6731146841739,164.06157884184444,164.33673095703125,48454441
2021-06-04,164.69047252752407,164.84769340751643,163.51130969903846,164.10089111328125,31286264
2021-06-07,165.3980000900687,166.9702216072871,165.24077918405564,166.22341918945312,32643869
2021-06-08,166.81297435164862,168.42451018362948,166.0268699457557,167.9528350830078,22080199
2021-06-09,168.22797571039973,168.81755713249416,166.26269599869443,167.04881286621094,25846432
2021-06-10,168.80516869885594,170.98905097269972,167.83456859632935,169.2904815673828,31902690
2021-06-11,170.09933752276615,170.22065292956617,168.0367833482013,168.15811157226562,22249404
2021-06-14,168.19854431616434,168.60296744352516,165.97423634157573,167.6728057861328,18358717
2021-06-15,167.87500416572573,168.5625221727644,167.4301425887627,167.4705810546875,15426377
2021-06-16,167.47059618168782,169.33093240669035,167.47059618168782,168.11767578125,20878518
2021-06-17,167.3897291275854,168.23901394245323,165.81248773101163,166.33822631835938,22304032
2021-06-18,166.62131980179623,166.98530449810372,163.79038326088707,165.44850158691406,24475206
2021-06-21,164.27565838175786,166.6212944546946,163.70946859625408,165.3675994873047,19809308
2021-06-22,166.70218729223774,166.82351550813178,165.2867128022464,165.89334106445312,18737552
2021-06-23,166.3382191436879,166.49999865910252,164.68010087470273,164.96319580078125,13059519
2021-06-24,165.3676315124879,165.52939822292205,163.83082853746475,164.3970184326172,23299321
2021-06-25,165.003635746397,166.29778216043277,164.80143057621777,165.85292053222656,14411660
2021-06-28,166.5404357262528,166.5404357262528,164.4778815033724,164.6800994873047,15190488
2021-06-29,164.68008013134656,166.05510330105315,164.31609549340877,164.4374237060547,13839294
2021-06-30,165.24631025166397,165.32718720166264,163.8308354540248,163.95216369628906,16556397
2021-07-01,164.11388625535668,164.84184269580436,163.5072580245274,164.19476318359375,10583793
2021-07-02,164.43741381227412,164.760947148355,163.58812919211502,163.70945739746094,13187847
2021-07-05,164.19478390936425,165.08451995312015,163.95214027676212,164.7205352783203,10642939
2021-07-06,164.39700306760673,164.84186468403908,163.58815677376725,163.79037475585938,11515716
2021-07-07,163.79037068559862,165.97424024397768,163.6286039943036,164.80142211914062,18568033
2021-07-08,164.59919709314508,165.40804333224568,163.22417386739042,163.3859405517578,21730892
2021-07-09,163.38593503521065,163.66902992761112,162.4962118925987,162.8601837158203,12289809
2021-07-12,163.38593068749952,163.8307922469677,162.53664603289766,162.65797424316406,13589278
2021-07-13,163.3859461416643,163.5477128315662,162.8601947865351,163.26461791992188,11247522
2021-07-14,163.2646207099089,165.93380318206343,163.14329248609312,165.0845184326172,21269167
2021-07-15,165.32715259403025,168.64340164691495,164.11389605988904,166.82351684570312,29963443
2021-07-16,167.99634487926798,169.57358615757553,167.59192173814168,168.15811157226562,30137464
2021-07-19,167.2683939188027,169.45226357284628,166.9044092344964,168.0367889404297,17099088
2021-07-20,168.40076649883682,169.29048971091714,166.94485345774822,167.2683868408203,24567907
2021-07-22,167.43016052246094,168.4412119997201,166.49999880297898,167.43016052246094,19016769
2021-07-23,167.43014322568192,172.76849498680951,167.02572011310522,171.79788208007812,46241640
2021-07-26,173.09206334310255,174.1840046860855,170.5037702800658,170.786865234375,49084040
2021-07-27,171.47436093863482,172.28320722143818,168.1985501557249,168.76473999023438,25378089
2021-07-28,168.4816587610536,169.8566949900795,167.79414064654068,169.1287384033203,15304399
2021-07-29,169.12873838185953,170.01846167475614,166.33822745191566,166.66177368164062,16204679
2021-07-30,166.70219290762893,167.51103916265964,165.4889363423467,165.7720184326172,15515733
2021-08-02,166.98528775134582,167.83457247362435,166.1764414966242,167.6728057861328,10046707
2021-08-03,167.8345742656265,170.58463361687345,166.98528953427999,169.77578735351562,19179805
2021-08-04,170.5846404253817,170.74640712105705,168.31988105139817,168.72430419921875,11421835
2021-08-05,168.72429788427505,175.3163577769582,167.34926179660232,174.10308837890625,48995450
2021-08-06,174.22442747476245,174.7097275739151,171.95966804418703,173.2942657470703,24489836
2021-08-09,173.90089561694802,175.63990367590895,172.04055932780713,172.93028259277344,21142199
2021-08-10,173.09203925557318,173.45602392500396,168.68386165736254,169.7353515625,18855165
2021-08-11,169.7353529661455,170.34198126961587,167.7941270143232,168.76473999023438,16012451
2021-08-12,170.05887779071102,173.25379865758592,168.52208787492475,168.96694946289062,28758718
2021-08-13,169.7353489080718,171.71701328147688,169.209597555093,171.0294952392578,19576945
2021-08-16,170.9890636509341,172.48541519955947,170.26110711143198,170.5846405029297,11621038
2021-08-17,170.50375641160647,171.06994627417205,168.88607658310409,169.20960998535156,8161139
2021-08-18,169.53312127840513,171.0699110311106,168.5220699917253,169.0073699951172,11149120
2021-08-20,167.43014672984066,170.42286244482696,167.18749029376337,168.96694946289062,20168965
2021-08-23,169.45227615511328,170.01846605012096,166.62132668007482,166.86398315429688,10319044
2021-08-24,167.43014930994136,167.43014930994136,165.56981317829633,166.41909790039062,12971124
2021-08-25,166.94483947753906,168.15809597109157,166.621293304297,166.94483947753906,10994627
2021-08-26,166.94488117834555,167.30885309042182,165.28674988456203,165.4889678955078,15407558
2021-08-27,165.81246405446632,167.30881547617807,165.73157430482033,166.54042053222656,10879860
2021-08-30,166.6213058766031,168.4007651032814,166.6213058766031,168.23899841308594,12550267
2021-08-31,168.27944139108536,171.15082905785013,167.63236179569816,170.90817260742188,26802390
2021-09-01,170.66551183591744,171.71701454964062,169.29048855858852,169.45225524902344,16867486
2021-09-02,169.0478364128075,171.06993932055775,169.0478364128075,169.6544647216797,14872714
2021-09-03,169.65446192701546,170.86773134203847,169.65446192701546,170.34197998046875,10622796
2021-09-06,170.66550478792726,170.8272842889453,169.08827641700566,169.2904815673828,11041632
2021-09-07,170.58465290065942,173.37515103534764,169.9780245431966,171.2721710205078,38933378
2021-09-08,171.67657030173794,172.2832114373175,169.61402889256135,170.86773681640625,17897021
2021-09-09,170.70597563470437,173.0111735725918,170.30155247033966,172.0001220703125,19784972
2021-09-13,172.566296894693,174.0222099056848,171.31258903962518,173.21336364746094,16661794
2021-09-14,173.81999069817195,175.72077810977382,173.25380088488862,174.7906036376953,20377545
2021-09-15,175.5994528163351,175.6803297525725,174.14353979142086,174.709716796875,21028598
2021-09-16,175.4781034181001,188.9857549624744,174.952352126948,186.64010620117188,154986538
2021-09-17,188.46002026746768,191.93803602656968,185.3055378772906,186.9636688232422,82563658
2021-09-20,186.84235751517153,193.5961844933477,186.23571637195556,189.06666564941406,73101936
2021-09-21,190.03727602387522,196.10358483372562,187.4085447697263,195.33518981933594,58854434
2021-09-22,196.95286560058594,198.81320180251942,194.6881062560992,196.95286560058594,54648494
2021-09-23,198.16611527590777,198.65142815689327,195.4969456995431,196.14401245117188,22630330
2021-09-24,197.3572925877382,197.3572925877382,192.26158396337655,192.86822509765625,25779310
2021-09-27,193.96014250164095,195.6182734791667,190.48212667631043,193.07041931152344,23772123
2021-09-28,194.00060456390528,195.4160792736374,191.12921667195312,192.3020477294922,16319138
2021-09-29,190.88655925498452,195.25429848668824,190.6439028030239,192.5851287841797,16045073
2021-09-30,194.04104319524453,194.44545352827274,190.27993225032407,191.0078887939453,16987893
2021-10-01,190.23946585020707,191.6953788217889,188.3791297604606,190.3607940673828,16570661
2021-10-04,190.8865718296164,192.78734664914907,190.40125889372527,191.3718719482422,11098123
2021-10-05,191.21008859922316,192.05937334584604,189.67328579810587,189.83505249023438,9578825
2021-10-06,189.91592781117149,191.21007406710774,186.51878908286508,187.04454040527344,18179336
2021-10-07,188.46003991144445,190.03728127093544,187.89385004817768,188.4196014404297,10770973
2021-10-08,189.8754878376604,189.91592630298197,187.00410045456505,187.4085235595703,10114327
2021-10-11,187.65118712315402,193.71749589152083,187.40854348815924,192.544677734375,22000303
2021-10-12,192.9895313509064,196.54843696168246,192.5042312837722,195.17340087890625,30347455
2021-10-13,196.184472267883,202.9382862550941,194.2432462940476,201.56326293945312,52091422
2021-10-14,204.83907010131895,211.79510194592942,202.4934210233864,207.50823974609375,88696178
2021-10-18,211.10757451930024,214.58559028719347,208.15531009018667,212.3612823486328,62614961
2021-10-19,211.4311296377429,212.36130419301446,198.20658322948827,198.93453979492188,61336411
2021-10-20,198.9345275699933,200.997068909097,196.02268866993225,199.46026611328125,49663940
2021-10-21,200.59261589452643,200.8757107669256,196.62930049820045,197.92344665527344,23385990
2021-10-22,197.92349404464966,198.8132173374296,189.02623548231955,191.3718719482422,36905793
2021-10-25,189.34977449182563,191.41231607853462,186.43794805946806,188.78358459472656,23194065
2021-10-26,189.3497358235436,193.31306429386115,188.1364793302498,191.45272827148438,19663381
2021-10-27,194.32413818539825,195.17341013886056,191.04832732934642,192.86822509765625,26909428
2021-10-28,190.15861802064373,190.8461361450217,181.3017978011801,182.07020568847656,48064941
2021-10-29,181.9892992918077,184.61803049604393,179.80542969979925,180.53338623046875,27668175
2021-11-01,181.3018021530368,184.05186189929373,179.96721716233836,183.4856719970703,24090945
2021-11-02,184.4158354413644,185.42688694589356,181.58488610177676,182.474609375,14896284
2021-11-03,182.79816096655958,183.48566626871073,179.32013189694177,179.92677307128906,18530527
2021-11-04,181.8679753193817,183.8496397948067,181.1804572417679,183.24301147460938,7295341
2021-11-08,185.79084486525838,186.59969113502424,182.5554854207232,185.87173461914062,21051238
